2025-06-23 11:26:24.564 [main] INFO  com.cw.framework.utils.SupplyUtils - 请求参数: {onceString=7234, versions=v2, appId=173252412813, sign=E89B8B1739F156434B28804CB166A353, sku_id=84, spu_id=853294, timestamp=1750649183}
2025-06-23 11:26:26.267 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=fail, code=20007, message=该商品未加入选品库[84], data=[])
2025-06-23 14:28:22.762 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=fail, code=20007, message=该商品未加入选品库, data=[])
2025-06-23 14:29:32.474 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93","data":[]}
2025-06-23 14:29:32.479 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=fail, code=20007, message=该商品未加入选品库, data=[])
2025-06-23 14:31:49.025 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93","data":[]}
2025-06-23 14:32:08.022 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93","data":[]}
2025-06-23 14:32:41.179 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93","data":[]}
2025-06-23 14:32:41.183 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=fail, code=20007, message=该商品未加入选品库, data=[])
2025-06-23 14:33:23.237 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93","data":[]}
2025-06-23 14:33:42.451 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93","data":[]}
2025-06-23 14:33:42.455 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=fail, code=20007, message=该商品未加入选品库, data=[])
2025-06-23 15:16:45.270 [main] INFO  com.cw.framework.utils.SupplyUtils - 请求参数: {onceString=5347, versions=v2, appId=173252412813, sign=A3B9D8B0FD5F89CF6A6CEC645FB8F0E7, sku_id=84, spu_id=853294, timestamp=1750663004}
2025-06-23 15:16:46.119 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93[84]","data":[]}
2025-06-23 15:16:46.150 [main] INFO  com.cw.framework.utils.SupplyUtils - 供应链参数: R(status=fail, code=20007, message=该商品未加入选品库[84], data=[])
2025-06-23 15:17:11.542 [main] INFO  com.cw.framework.utils.SupplyUtils - 请求参数: {onceString=5733, versions=v2, appId=173252412813, sign=B3C791D0D1DFC72C6DBD9BE8B5AC8DE8, sku_id=84, spu_id=853294, timestamp=1750663031}
2025-06-23 15:17:12.240 [main] INFO  com.cw.framework.utils.SupplyUtils - response: {"status":"fail","code":20007,"message":"\u8be5\u5546\u54c1\u672a\u52a0\u5165\u9009\u54c1\u5e93[84]","data":[]}
2025-06-23 15:17:43.727 [main] INFO  com.cw.framework.utils.SupplyUtils - 请求参数: {onceString=5920, versions=v2, appId=173252412813, sign=18E3119D61A1A8EFF99B24486F5A4C74, sku_id=84, spu_id=853294, timestamp=1750663063}
